Taille,Tri Par Selection,Tri par Insertion,Tri par fusion,Tri rapide,Tri par tas
71,0.0,0.0,0.0,0.0010342597961425781,0.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0010523796081542969,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0010192394256591797,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0009768009185791016
80,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.001094818115234375,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.001081705093383789,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0009217262268066406,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0010287761688232422,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
91,0.0009741783142089844,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.000995635986328125,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0
95,0.0010905265808105469,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0009279251098632812,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0010006427764892578,0.0
99,0.0,0.0,0.0,0.0,0.0
100,0.0009982585906982422,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0010616779327392578
102,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0010135173797607422,0.0
104,0.0,0.0,0.0,0.0,0.0
105,0.0009982585906982422,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0009884834289550781,0.0
107,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0010085105895996094,0.0,0.0
109,0.0,0.0,0.0,0.0,0.001009225845336914
110,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0009908676147460938,0.0
112,0.0,0.0,0.0,0.0009434223175048828,0.0
113,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.001054525375366211,0.0,0.0
115,0.0,0.0,0.0,0.0010023117065429688,0.0
116,0.0,0.0,0.0,0.0,0.0
117,0.0009984970092773438,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0010251998901367188,0.0
119,0.0,0.0,0.0,0.0009808540344238281,0.0
120,0.0,0.0,0.0,0.0,0.0009074211120605469
121,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0
123,0.0009984970092773438,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0009987354278564453,0.0,0.0
125,0.0,0.0,0.0,0.0010428428649902344,0.0
126,0.0,0.0,0.0009601116180419922,0.0,0.0
127,0.001001596450805664,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0010159015655517578,0.0,0.0
129,0.0,0.0,0.0009810924530029297,0.0,0.0
130,0.0,0.0,0.0,0.0010073184967041016,0.0
131,0.0,0.0,0.0,0.0009937286376953125,0.0
132,0.0,0.0,0.0,0.0009996891021728516,0.0
133,0.0,0.0,0.0,0.0010039806365966797,0.0
134,0.0,0.0,0.0,0.0,0.0009970664978027344
135,0.0,0.0,0.0,0.0,0.0009984970092773438
136,0.0,0.0,0.0,0.0,0.0009999275207519531
137,0.0,0.0,0.0,0.0010976791381835938,0.0
138,0.0,0.0,0.0,0.0,0.001116037368774414
139,0.0,0.0,0.0,0.0,0.0009717941284179688
140,0.0,0.0,0.0,0.0,0.0009927749633789062
141,0.0,0.0,0.0,0.0,0.0010290145874023438
142,0.0,0.0,0.0,0.0,0.0009768009185791016
143,0.0,0.0,0.0,0.0010247230529785156,0.0003147125244140625
144,0.0002853870391845703,0.0,0.0,0.0,0.0
145,0.0011494159698486328,0.0,0.0,0.0,0.0
146,0.0010066032409667969,0.0,0.0,0.0,0.0
147,0.0010094642639160156,0.0,0.0,0.0,0.0
148,0.0009794235229492188,0.0,0.0,0.0,0.0
149,0.0010027885437011719,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0010023117065429688
151,0.0,0.0,0.0,0.0,0.0009992122650146484
152,0.0,0.0,0.0,0.0010259151458740234,0.000164031982421875
153,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,0.0009860992431640625
155,0.0,0.0,0.0,0.0010066032409667969,0.0
156,0.0,0.0,0.0,0.0009872913360595703,0.0
157,0.0,0.0,0.0,0.0010271072387695312,0.0
158,0.0,0.0,0.0010044574737548828,0.0,0.0
159,0.0009765625,0.0,0.0,0.0,0.0010058879852294922
160,0.0,0.0,0.0,0.0009853839874267578,0.0
161,0.0,0.0,0.0,0.001026153564453125,0.0
162,0.0,0.0,0.0009734630584716797,0.0,0.0
163,0.0009989738464355469,0.0,0.0,0.0,0.0010273456573486328
164,0.0,0.0,0.0,0.0009951591491699219,0.0
165,0.0,0.0,0.0,0.0009851455688476562,0.0
166,0.0,0.0,0.0009846687316894531,0.0,0.0
167,0.0011556148529052734,0.0,0.0,0.0,0.0011029243469238281
168,0.0,0.0,0.0,0.000997781753540039,0.0
169,0.0,0.0,0.0,0.0010099411010742188,0.0
170,0.0010151863098144531,0.0,0.0,0.0,0.0009741783142089844
171,0.0,0.0,0.0,0.0010056495666503906,0.0
172,0.0,0.0,0.0,0.0010001659393310547,0.0
173,0.0010025501251220703,0.0,0.0,0.0,0.0010173320770263672
174,0.0,0.0,0.0,0.0008955001831054688,0.0
175,0.0010073184967041016,0.0,0.0,0.0,0.0010704994201660156
176,0.0,0.0,0.0,0.0010077953338623047,0.0
177,0.0,0.0,0.000997781753540039,0.0,0.0010073184967041016
178,0.0,0.0,0.0,0.0012030601501464844,0.0
179,0.0,0.0,0.0,0.0011510848999023438,0.0
180,0.0009891986846923828,0.0,0.0,0.0008883476257324219,0.0
181,0.0,0.0,0.0,0.0010044574737548828,0.0
182,0.0010936260223388672,0.0,0.0,0.0009400844573974609,0.0
183,0.0,0.0,0.0010483264923095703,0.0,0.0
184,0.0010280609130859375,0.0,0.0,0.0010018348693847656,0.0
185,0.0,0.0,0.0,0.0009768009185791016,0.0
186,0.0,0.0,0.0,0.001020669937133789,0.0
187,0.0,0.0,0.000986337661743164,0.0,0.0009944438934326172
188,0.0,0.0,0.0,0.0010166168212890625,0.0
189,0.0010023117065429688,0.0,0.0002243518829345703,0.0,0.0
190,0.0010912418365478516,0.0,0.0,0.0010156631469726562,0.0
191,0.0,0.0,0.0009989738464355469,0.0,0.001007080078125
192,0.0,0.0,0.0,0.0009846687316894531,0.0
193,0.0009961128234863281,0.0,0.0,0.0009944438934326172,0.0
194,0.0,0.0,0.0010104179382324219,0.0,0.0010056495666503906
195,0.0,0.0,0.0,0.0009953975677490234,0.0
196,0.0009889602661132812,0.0,0.0,0.0010342597961425781,0.0
197,0.0009663105010986328,0.0,0.0,0.0009987354278564453,0.0
198,0.0,0.0,0.0,0.0011110305786132812,0.0
199,0.0010814666748046875,0.0,0.0,0.0010082721710205078,0.0
200,0.0009958744049072266,0.0,0.0,0.0010035037994384766,0.0
201,0.0,0.0,0.0010042190551757812,0.0009946823120117188,0.0
202,0.0,0.0,0.0,0.0020024776458740234,0.0
203,0.0,0.0,0.0010213851928710938,0.0,0.000972747802734375
204,0.0,0.0,0.0,0.0009989738464355469,0.0
205,0.0,0.0,0.0,0.0009899139404296875,0.0
206,0.0009930133819580078,0.0,0.0,0.0009949207305908203,0.0
207,0.0010225772857666016,0.0,0.0,0.0009806156158447266,0.0
208,0.0010216236114501953,0.0,0.0,0.0009777545928955078,0.0
209,0.0009961128234863281,0.0,0.0,0.0010080337524414062,0.0
210,0.0010194778442382812,0.0,0.0,0.0009748935699462891,0.0
211,0.001001596450805664,0.0,0.0,0.0010509490966796875,0.0
212,0.0009744167327880859,0.0,0.0,0.0009770393371582031,0.0
213,0.0010178089141845703,0.0,0.0,0.0009534358978271484,0.0
214,0.0010294914245605469,0.0,0.0,0.0009922981262207031,0.0
215,0.0010139942169189453,0.0,0.0,0.0009980201721191406,0.0
216,0.0009567737579345703,0.0,0.0,0.0010581016540527344,0.0
217,0.0008943080902099609,0.0,0.0,0.0010051727294921875,0.0009968280792236328
218,0.0,0.0,0.0,0.0010781288146972656,0.0010097026824951172
219,0.0,0.0,0.0,0.0019960403442382812,0.0
220,0.0009965896606445312,0.0,0.0,0.0009195804595947266,0.001001596450805664
221,0.0,0.0,0.0,0.0010776519775390625,0.0010149478912353516
222,0.0,0.0,0.0,0.0019941329956054688,0.0
223,0.0,0.0,0.0010364055633544922,0.0008783340454101562,0.0
224,0.0009968280792236328,0.0,0.0,0.0010380744934082031,0.0
225,0.0010724067687988281,0.0,0.0,0.0008895397186279297,0.001093149185180664
226,0.0,0.0,0.0,0.0019068717956542969,0.0
227,0.0010018348693847656,0.0,0.0,0.0009980201721191406,0.0
228,0.0011005401611328125,0.0,0.0,0.0009899139404296875,0.0009937286376953125
229,0.0,0.0,0.0010025501251220703,0.0009317398071289062,0.0
230,0.0009815692901611328,0.0,0.0,0.001100778579711914,0.0
231,0.000989675521850586,0.0,0.0,0.001986980438232422,0.0
232,0.0,0.0,0.001008749008178711,0.000919342041015625,0.000997781753540039
233,0.0,0.0,0.0,0.0019996166229248047,0.0
234,0.0009987354278564453,0.0,0.0,0.002003908157348633,0.0
235,0.0009970664978027344,0.0,0.0,0.0010008811950683594,0.0
236,0.0,0.0,0.0,0.0019240379333496094,0.0
237,0.0011987686157226562,0.0,0.0,0.001119375228881836,0.0
238,0.0,0.0,0.0,0.0019922256469726562,0.0
239,0.0010225772857666016,0.0,0.0,0.001997709274291992,0.0
240,0.000997781753540039,0.0,0.0,0.0019822120666503906,0.0
241,0.0011529922485351562,0.0,8.153915405273438e-05,0.0010025501251220703,0.0
242,0.002017498016357422,0.0,0.0,0.0009829998016357422,0.000997781753540039
243,0.0,0.0,0.0010132789611816406,0.0009872913360595703,0.0010082721710205078
244,0.0,0.0,0.0009927749633789062,0.0009992122650146484,0.0010039806365966797
245,0.0,0.0,0.0010004043579101562,0.0009937286376953125,0.0010030269622802734
246,0.0,0.0,0.0010001659393310547,0.0010020732879638672,0.0
247,0.0010001659393310547,0.0,0.0,0.0019996166229248047,0.0
248,0.001056671142578125,0.0,0.0,0.0020210742950439453,0.0
249,0.0009980201721191406,0.0,0.0,0.0009868144989013672,0.0009953975677490234
250,0.0009987354278564453,0.0,0.0,0.001005411148071289,0.000995635986328125
251,0.0010237693786621094,0.0,0.0,0.0009970664978027344,0.0009989738464355469
252,0.0010006427764892578,0.0,0.0,0.0009808540344238281,0.0010001659393310547
253,0.0010173320770263672,0.0,0.0,0.0009868144989013672,0.001020669937133789
254,0.0009932518005371094,0.0,0.0,0.0009996891021728516,0.0010001659393310547
255,0.0,0.0,0.0010025501251220703,0.0009813308715820312,0.001001119613647461
256,0.0,0.0,0.0010073184967041016,0.0009918212890625,0.0009965896606445312
257,0.0010941028594970703,0.0,0.0,0.001020193099975586,0.0009958744049072266
258,0.0010166168212890625,0.0,0.0,0.0010013580322265625,0.0009851455688476562
259,0.0009963512420654297,0.0,0.0,0.0010242462158203125,0.0010018348693847656
260,0.0009784698486328125,0.0,0.0,0.0009970664978027344,0.0010178089141845703
261,0.0009996891021728516,0.0,0.0,0.0010004043579101562,0.0009853839874267578
262,0.0009982585906982422,0.0,0.0,0.002015829086303711,0.0
263,0.0009839534759521484,0.0,0.0,0.0020182132720947266,0.000982046127319336
264,0.0009968280792236328,0.0,0.0,0.0010173320770263672,0.0
265,0.0,0.0,0.00098419189453125,0.0010135173797607422,0.0010650157928466797
266,0.000942230224609375,0.0,0.0,0.0009987354278564453,0.000982522964477539
267,0.0009984970092773438,0.0,0.0,0.001996755599975586,0.0009987354278564453
268,0.0010006427764892578,0.0,0.0,0.001998424530029297,0.0
269,0.0009996891021728516,0.0,0.0,0.0021414756774902344,0.0
270,0.0011551380157470703,0.0,0.0,0.001996278762817383,0.0
271,0.0009799003601074219,0.0,0.0,0.0009922981262207031,0.001039266586303711
272,0.0009672641754150391,0.0,0.0,0.001954317092895508,0.0
273,0.0010480880737304688,0.0,0.0,0.002004384994506836,0.0
274,0.0010137557983398438,0.0,0.0,0.0019834041595458984,0.0
275,0.0010192394256591797,0.0,0.0,0.002007007598876953,0.0
276,0.0009837150573730469,0.0,0.0,0.0019991397857666016,0.0
277,0.000988006591796875,0.0,0.0,0.0019483566284179688,0.001004934310913086
278,0.001064300537109375,0.0,0.0,0.0009953975677490234,0.0009865760803222656
279,0.0010404586791992188,0.0,0.0,0.0009620189666748047,0.0009996891021728516
280,0.0010671615600585938,0.0,0.0,0.0019683837890625,0.0
281,0.0009913444519042969,0.0,0.0,0.001996755599975586,0.0
282,0.0009739398956298828,0.0,0.0,0.0019936561584472656,0.0
283,0.0010271072387695312,0.0,0.0008938312530517578,0.0010790824890136719,0.00102996826171875
284,0.0009682178497314453,0.0,0.0,0.0010318756103515625,0.001003265380859375
285,0.0009732246398925781,0.0,0.0,0.0019991397857666016,0.0
286,0.0010068416595458984,0.0,0.0,0.002017974853515625,0.0
287,0.0009984970092773438,0.0,0.0009706020355224609,0.0010380744934082031,0.0008943080902099609
288,0.0010912418365478516,0.0,0.0,0.0019948482513427734,0.0
289,0.0009818077087402344,0.0,0.0,0.0019989013671875,0.0010058879852294922
290,0.0009951591491699219,0.0,0.0,0.0010159015655517578,0.000993967056274414
291,0.0011708736419677734,0.0,0.0,0.002147197723388672,0.0
292,0.0009751319885253906,0.0,0.0,0.002005338668823242,0.0
293,0.0020105838775634766,0.0,0.0,0.0020155906677246094,0.0
294,0.0009846687316894531,0.0,0.0009822845458984375,0.0010066032409667969,0.0010004043579101562
295,0.000990152359008789,0.0,0.0,0.0020029544830322266,0.0
296,0.001027822494506836,0.0,0.0,0.001970529556274414,0.001007080078125
297,0.0009965896606445312,0.0,0.0,0.0020072460174560547,0.0
298,0.0010683536529541016,0.0,0.0009286403656005859,0.0010004043579101562,0.0009167194366455078
299,0.001001119613647461,0.0,0.0,0.002075672149658203,0.0
300,0.0010514259338378906,0.0,0.0,0.0021314620971679688,0.0
301,0.0010061264038085938,0.0,0.0008995532989501953,0.0020804405212402344,0.0
302,0.0010228157043457031,0.0,0.0009024143218994141,0.001997709274291992,0.0
303,0.0009222030639648438,0.0,0.0,0.002085447311401367,0.0009922981262207031
304,0.0010082721710205078,0.0,0.0,0.0019192695617675781,0.0010294914245605469
305,0.0010426044464111328,0.0,0.0,0.002952098846435547,0.0
306,0.0009984970092773438,0.0,0.0010874271392822266,0.00188446044921875,0.0
307,0.000980377197265625,0.0,0.0,0.002084016799926758,0.0009930133819580078
308,0.0010039806365966797,0.0,0.0,0.0019159317016601562,0.0010952949523925781
309,0.000911712646484375,0.0,0.0009968280792236328,0.00208282470703125,0.0
310,0.0019140243530273438,0.0,0.0,0.0021986961364746094,0.0
311,0.0010085105895996094,0.0,0.0,0.0020117759704589844,0.0
312,0.001039266586303711,0.0,0.0,0.003004789352416992,0.0
313,0.0010383129119873047,0.0,0.000919342041015625,0.002103567123413086,0.0010113716125488281
314,0.0008833408355712891,0.0,0.0,0.002000570297241211,0.001107931137084961
315,0.0008943080902099609,0.0,0.0010068416595458984,0.0020775794982910156,0.0009152889251708984
316,0.0009999275207519531,0.0,0.0,0.0020842552185058594,0.0010190010070800781
317,0.0008962154388427734,0.0,0.0,0.0029976367950439453,0.0
318,0.000997781753540039,0.0,0.0,0.00299835205078125,0.0
319,0.0019998550415039062,0.0,0.0,0.0020990371704101562,0.0009150505065917969
320,0.0009839534759521484,0.0,0.0,0.003259897232055664,0.0
321,0.0010750293731689453,0.0,0.0,0.003096342086791992,0.0009615421295166016
322,0.0009989738464355469,0.0,0.0,0.003002643585205078,0.0
323,0.000997304916381836,0.0,0.0010857582092285156,0.0019519329071044922,0.0010504722595214844
324,0.0010151863098144531,0.0,0.0,0.0029630661010742188,0.0
325,0.0010614395141601562,0.0,0.0,0.0020580291748046875,0.0009632110595703125
326,0.0009572505950927734,0.0,0.0,0.0029594898223876953,0.0
327,0.0019991397857666016,0.0,0.0,0.0029952526092529297,0.0010013580322265625
328,0.0020804405212402344,0.0,0.0,0.002025604248046875,0.0008962154388427734
329,0.0012900829315185547,0.0,0.0,0.002041339874267578,0.001032114028930664
330,0.0010492801666259766,0.0,0.0,0.002035379409790039,0.0009663105010986328
331,0.0009567737579345703,0.0,0.0009586811065673828,0.0020923614501953125,0.0
332,0.0019071102142333984,0.0,0.0,0.002034425735473633,0.0009691715240478516
333,0.0010297298431396484,0.0,0.0010554790496826172,0.0019958019256591797,0.0009999275207519531
334,0.001016855239868164,0.0,0.0,0.002984285354614258,0.0
335,0.0009992122650146484,0.0,0.0010304450988769531,0.001966714859008789,0.0009686946868896484
336,0.0009484291076660156,0.0,0.0,0.002086162567138672,0.0010025501251220703
337,0.0010123252868652344,0.0,0.0009853839874267578,0.0019137859344482422,0.0
338,0.0010001659393310547,0.0,0.0,0.0030078887939453125,0.0
339,0.0019533634185791016,0.0,0.0,0.002039670944213867,0.0
340,0.00099945068359375,0.0,0.0,0.0022325515747070312,0.0009918212890625
341,0.001079559326171875,0.0,0.0010173320770263672,0.0022881031036376953,0.0
342,0.0018944740295410156,0.0,0.0,0.0020775794982910156,0.0009989738464355469
343,0.0010144710540771484,0.0,0.000978231430053711,0.0019500255584716797,0.0010690689086914062
344,0.0009908676147460938,0.0,0.0,0.002997875213623047,0.0
345,0.0010528564453125,0.0,0.0,0.0031576156616210938,0.0
346,0.0010037422180175781,0.0,0.0,0.0030841827392578125,0.0
347,0.0019123554229736328,0.0,0.0,0.003000497817993164,0.0
348,0.0010988712310791016,0.0,0.0,0.002904653549194336,0.0
349,0.0020761489868164062,0.0,0.0,0.0030438899993896484,0.0
350,0.0020046234130859375,0.0,0.0,0.0021581649780273438,0.0011107921600341797
351,0.0019233226776123047,0.0,0.0,0.0030014514923095703,0.0
352,0.0009953975677490234,0.0,0.0,0.0030057430267333984,0.0009996891021728516
353,0.001996755599975586,0.0,0.0,0.003086090087890625,8.511543273925781e-05
354,0.0020177364349365234,0.0,0.0,0.0029833316802978516,0.0009989738464355469
355,0.001004934310913086,0.0,0.0009989738464355469,0.002000093460083008,0.0010056495666503906
356,0.0020706653594970703,0.0,0.0,0.0030562877655029297,0.0009706020355224609
357,0.0009980201721191406,0.0,0.0,0.0030014514923095703,0.0009984970092773438
358,0.0009999275207519531,0.0,0.0010089874267578125,0.0019922256469726562,0.0010044574737548828
359,0.002000093460083008,0.0,0.0,0.0029954910278320312,0.0
360,0.002001523971557617,0.0,0.0,0.003111124038696289,0.0008881092071533203
361,0.0009982585906982422,0.0,0.0,0.0030031204223632812,0.0009987354278564453
362,0.000997304916381836,0.0,0.0011017322540283203,0.0019063949584960938,0.0010898113250732422
363,0.0019047260284423828,0.0,0.0,0.0019974708557128906,0.001093149185180664
364,0.0019068717956542969,0.0,0.0,0.003002166748046875,0.0
365,0.0020990371704101562,0.0,0.0,0.0030074119567871094,0.0
366,0.0010116100311279297,0.0,0.0,0.0030035972595214844,0.0
367,0.0009624958038330078,0.0,0.0,0.002999544143676758,0.0010061264038085938
368,0.001028299331665039,0.0,0.0009813308715820312,0.0020008087158203125,0.0010225772857666016
369,0.0019800662994384766,0.0,0.00017976760864257812,0.0021409988403320312,0.0009741783142089844
370,0.0009992122650146484,0.0,0.0010218620300292969,0.002993345260620117,0.0
371,0.001977682113647461,0.0,0.0,0.003008604049682617,0.0
372,0.0010578632354736328,0.0,0.0,0.0030257701873779297,0.0009775161743164062
373,0.0010228157043457031,0.0,0.0009827613830566406,0.002000093460083008,0.0009911060333251953
374,0.0020151138305664062,0.0,0.0,0.0030133724212646484,0.0
375,0.000978231430053711,0.0,0.0010063648223876953,0.0020208358764648438,0.0009789466857910156
376,0.0020046234130859375,0.0,0.0,0.002995014190673828,0.0
377,0.002001047134399414,0.0,0.0,0.002962827682495117,0.0009675025939941406
378,0.001077890396118164,0.0,0.0010099411010742188,0.0029954910278320312,0.0002048015594482422
379,0.0021224021911621094,0.0,0.0,0.0030181407928466797,0.0
380,0.0019834041595458984,0.0,0.0,0.003009796142578125,0.0009968280792236328
381,0.002004861831665039,0.0,0.0,0.0029795169830322266,0.0
382,0.002305746078491211,0.0,0.0,0.0030074119567871094,0.0009744167327880859
383,0.0019207000732421875,0.0,0.0,0.002999544143676758,0.0
384,0.0009076595306396484,0.0,0.0010805130004882812,0.0030014514923095703,0.0009198188781738281
385,0.0019998550415039062,0.0,0.0,0.0030596256256103516,0.0
386,0.0010173320770263672,0.0,0.0009026527404785156,0.0031011104583740234,0.0008981227874755859
387,0.001999378204345703,0.0,0.0,0.0030012130737304688,0.0010933876037597656
388,0.0019059181213378906,0.0,0.0,0.003255605697631836,0.0
389,0.0010457038879394531,0.0,0.0009951591491699219,0.002921581268310547,0.0009965896606445312
390,0.0020020008087158203,0.0,0.0,0.003087282180786133,0.0009989738464355469
391,0.0019176006317138672,0.0,0.0,0.0029959678649902344,0.0011141300201416016
392,0.0018815994262695312,0.0,0.0,0.003004312515258789,0.001050710678100586
393,0.0019466876983642578,0.0,0.0,0.0030775070190429688,0.0009238719940185547
394,0.00099945068359375,0.0,0.0010883808135986328,0.0029921531677246094,0.0009229183197021484
395,0.0019991397857666016,0.0,0.000997304916381836,0.002997875213623047,0.0
396,0.002103567123413086,0.0,0.000988006591796875,0.003908872604370117,0.0
397,0.0020020008087158203,0.0,0.0,0.0040340423583984375,0.0010485649108886719
398,0.0020482540130615234,0.0,0.0,0.0040302276611328125,0.0
399,0.0020761489868164062,0.0,0.0010113716125488281,0.002990245819091797,0.0
400,0.0009989738464355469,0.0,0.0009672641754150391,0.002998828887939453,0.0009930133819580078
401,0.002029895782470703,0.0,0.0,0.0037331581115722656,0.0006289482116699219
402,0.0010986328125,0.0,0.0,0.0045201778411865234,0.0
403,0.0020723342895507812,0.0,0.0010097026824951172,0.0022971630096435547,0.0009856224060058594
404,0.001999378204345703,0.0,0.0010001659393310547,0.003007173538208008,0.0
405,0.0021800994873046875,0.0,0.0,0.0041353702545166016,0.0
406,0.00232696533203125,0.0,0.0,0.003973722457885742,0.0
407,0.001999378204345703,0.0,0.0009937286376953125,0.0030095577239990234,0.001013040542602539
408,0.0019893646240234375,0.0,0.0,0.003004789352416992,0.000982522964477539
409,0.0020296573638916016,0.0,0.0,0.003977775573730469,0.0
410,0.0009799003601074219,0.0,0.0010111331939697266,0.0029768943786621094,0.0009253025054931641
411,0.0024073123931884766,0.0,0.0,0.004003286361694336,0.0
412,0.0019943714141845703,0.0,0.0010051727294921875,0.002994537353515625,0.0010144710540771484
413,0.0019838809967041016,0.0,0.0,0.004007101058959961,0.0
414,0.0020017623901367188,0.0,0.0010075569152832031,0.00298309326171875,0.0010111331939697266
415,0.001990795135498047,0.0,0.0,0.004067182540893555,0.0010790824890136719
416,0.0029227733612060547,0.0,0.0,0.003998279571533203,0.0010182857513427734
417,0.0019974708557128906,0.0,0.0,0.004987239837646484,0.0010035037994384766
418,0.0019958019256591797,0.0,0.0009992122650146484,0.0031995773315429688,0.0010132789611816406
419,0.0019884109497070312,0.0,0.0010237693786621094,0.003974199295043945,0.0009996891021728516
420,0.002000570297241211,0.0,0.0,0.0039997100830078125,0.00099945068359375
421,0.001999378204345703,0.0,0.0,0.004000663757324219,0.0009999275207519531
422,0.0020003318786621094,0.0,0.0010001659393310547,0.002999544143676758,0.0010035037994384766
423,0.002995729446411133,0.0,0.0,0.004003763198852539,0.0010056495666503906
424,0.0019903182983398438,0.0,0.0010004043579101562,0.003757953643798828,0.0009770393371582031
425,0.002012968063354492,0.0,0.0,0.003999948501586914,0.000986337661743164
426,0.0019228458404541016,0.0,0.0,0.005000114440917969,0.001008749008178711
427,0.001990079879760742,0.0,0.0,0.004107236862182617,0.0009992122650146484
428,0.002000570297241211,0.0,0.0010020732879638672,0.003999471664428711,0.0010001659393310547
429,0.0029969215393066406,0.0,0.0,0.003999948501586914,0.0010025501251220703
430,0.001997709274291992,0.0,0.0010008811950683594,0.004000186920166016,0.0
431,0.0020689964294433594,0.0,0.0,0.004001140594482422,0.0010004043579101562
432,0.0019981861114501953,0.0,0.0010004043579101562,0.004001140594482422,0.0
433,0.0029997825622558594,0.0,0.0,0.003999948501586914,0.0009999275207519531
